country_code,country_name,co2_total_mmtco2_2007,gdp_billion_ppp_usd_2007,population_people_2007,co2_per_capita_tonnes_2007,co2_per_gdp_tonnes_per_usd_2007,renewables_share_2007,fossil_share_2007,hydro_share_2007,wind_share_2007,solar_share_2007,gdp_per_capita_usd_ppp_2007,co2_total_mmtco2_2023,gdp_billion_ppp_usd_2023,population_people_2023,co2_per_capita_tonnes_2023,co2_per_gdp_tonnes_per_usd_2023,renewables_share_2023,fossil_share_2023,hydro_share_2023,wind_share_2023,solar_share_2023,gdp_per_capita_usd_ppp_2023,co2_change_2007_2023_pct,gdp_change_2007_2023_pct,co2_per_capita_change_2007_2023_pct,co2_per_gdp_change_2007_2023_pct,renewables_share_change_2007_2023_pct_points,fossil_share_change_2007_2023_pct_points,co2_vs_gdp_ratio_2007_2023,slope_co2_total_mmtco2,slope_renewables_share,cluster_id,cluster_name
ABW,Aruba,1.024105112,3.471344,96587,10.602929089836106,0.000295017,0,1,0,0,0,35940.07475126052,1.163000332,3.526934,107939,10.774607250391425,0.000329748,0.1635039089545641,0.836496091,0,0.13726254085074516,0.026241368103818927,32675.25176,13.562594149027154,1.601397038150053,1.6191578676112044,11.77266992341238,16.35039089545641,-16.3503909,8.469226447861283,0.019000066,-0.000275651,4,Mixed pathway
AFG,Afghanistan,0.886020545,55.93964,25909850,0.034196282,1.5838867482879763e-05,0.737672584,0.262327416,0.737672584,0,0,2159.010569,7.756799675,68.19271,41454760,0.18711481323254556,0.000113748,0.8669686196330212,0.13303138036697873,0.7703131574354799,0,0.096655462,1644.99107,775.4649899230045,21.904091624472393,447.1788178041932,618.1588232656612,12.929603580659121,-12.92960358,35.40274589869843,-0.340955473,-0.004482197,0,Transitioning systems
AGO,Angola,10.42826072,162.4086,20778560,0.5018760068070165,6.421002779409465e-05,0.7679012345679012,0.23209876543209876,0.7679012345679012,0,0,7816.162428965241,19.65987896,241.6884,36749910,0.5349640028506193,8.13439079326935e-05,0.7643234250025537,0.23567657499744632,0.7396838788706585,0,0.021573619551238883,6576.571207929489,88.52500417730252,48.81502580528371,6.592862698121755,26.684118863089246,-0.357780957,0.35778095653475617,1.8134785901868893,0.552585563,0.006446637,0,Transitioning systems
ALB,Albania,3.173024237,27.11944,3022887,1.0496668373644136,0.000117002,0.9745762711864406,0.025423729,0.9745762711864406,0,0,8971.370745912765,3.392413045,43.93804,2811655,1.2065538072772086,7.720902081658626e-05,1,0,0.9670219853431046,0,0.032978015,15627.109300394251,6.914186328668757,62.01676730787952,14.94635862810711,-34.01041873,2.5423728813559365,-2.542372881,0.11148898320261652,-0.020820702,-2.07E-17,0,Transitioning systems
ARE,United Arab Emirates,188.5650885,435.3022,5624635,33.52485779,0.000433182,0,1,0,0,0,77392.07966383596,271.7026622,694.4093,10642080,25.530973470975596,0.000391272,0.048229146,0.7525952043035004,0,0,0.048193001,65251.276066332895,44.08958958944458,59.52349884746734,-23.84464797,-9.675006735,4.822914593357948,-24.74047957,0.7407089711313324,2.6649533001998473,0.005602909,1,Rapid emitters
ARG,Argentina,161.2872069,863.2924,40016760,4.030491397679372,0.000186828,0.2838998167903712,0.6591970071289915,0.26880581120556224,0.000545426,8.941416731715474e-07,21573.270799534996,198.1412793,996.3062,45538400,4.351081269434148,0.000198876,0.31812331198719634,0.6148630366184504,0.16668967361279607,0.10997841279595336,0.024861488,21878.375173479963,22.849966240673055,15.407734389877628,7.9541137822390935,6.448642190352361,3.422349519682516,-4.433397051,1.4830192202485477,2.614055646099291,0.017052093020270304,4,Mixed pathway
ARM,Armenia,11.15540358,27.9374,2974819,3.749943636,0.0003993,0.3237689026754556,0.2624343473509817,0.32324015650886534,0.000528746,0,9391.294058562891,7.144050189,47.40823,2943393,2.427147917046755,0.000150692,0.2798334875115634,0.4296947271045329,0.19033302497687327,0.000231267,0.089269195,16106.65989896694,-35.95883699,69.69449555076707,-35.2750827,-62.26090728,-4.393541516,16.72603797535512,-0.515949455,0.2840444955999579,0.000565061,4,Mixed pathway
ATG,Antigua and Barbuda,0.690569119,1.878234,81704,8.452084585821991,0.000367669,0,1,0,0,0,22988.27474787036,0.72461072,2.071444,93316,7.765128380985041,0.000349809,0.063704083,0.9362959166568894,0,0,0.063704083,22198.165373569376,4.929499461153879,10.28679067677404,-8.127654165,-4.857600065,6.370408334311052,-6.370408334,0.4792067434874432,0.002031194,0.007281852,4,Mixed pathway
AUS,Australia,385.3010343,918.7898,20877280,18.45551883458956,0.000419357,0.085986684,0.9145242097630114,0.058489073,0.010757605722007978,0.000449092,44009.075894944166,394.6532801,1366.018,26721320,14.76922846973877,0.000288908,0.35572090630044834,0.6447385042144894,0.056565774954092284,0.11945493471218616,0.16851561331254003,51120.902709896065,2.4272568735983415,48.675790697719975,-19.9739189,-31.10697014,26.973422249412643,-26.97857055,0.049865792,-0.438826777,0.036150126652156084,1,Rapid emitters
AUT,Austria,70.96233754,420.3109,8298611.999999999,8.551109214,0.000168833,0.7042105092495015,0.3107054264822711,0.595534947,0.033025827,0.000389111,50648.337336412405,56.95917683,495.3368,9138508,6.232874867,0.000114991,0.8710035610794571,0.1550004885829938,0.610907611,0.1229392627314517,0.056267909,54203.24630672753,-19.73322919,17.850096202596692,-27.11033492,-31.89078889,16.679305182995563,-15.57049379,-1.105497078,-1.649768104,0.013430124462674308,0,Transitioning systems
AZE,Azerbaijan,31.14846486,100.3286,8828311,3.528247346632895,0.000310464,0.1072263208541447,0.8927736791458553,0.1072263208541447,0,0,11364.416138035916,38.89162548,153.4078,10318210,3.7692221304858107,0.000253518,0.06546467,0.93453533,0.056434679,0.002853386,0.002326254,14867.675691810886,24.85888358400276,52.90535301000913,6.829872176702249,-18.3423725,-4.176165051,4.176165051237579,0.4698746378140549,1.4435756351997486,0.000530252,4,Mixed pathway
BDI,Burundi,0.209395776,6.528767,8161874,0.025655355,3.207279046717397e-05,0.9830508474576273,0.016949153,0.9830508474576273,0,0,799.9102902,0.838375423,9.540521,13689450,0.061242447505195606,8.787522431951043e-05,0.6875336338891508,0.3124663661108492,0.6666460683447893,0,0.005208172,696.9250773405798,300.37838346844205,46.13051744686247,138.71214096936743,173.98683756391398,-29.55172136,29.551721356847633,6.511489575516826,0.036057543,-0.007564055,4,Mixed pathway
BEL,Belgium,139.3142961,505.9492,10635990,13.098385400230725,0.000275352,0.053998878,0.40356490490801206,0.004596411,0.005861917,7.1632382612433e-05,47569.54453699185,112.0834469,621.0717,11789230,9.507274596220448,0.000180468,0.3605622606371091,0.24112498357055667,0.004693644,0.19959312699708426,0.094044782,52681.27774248191,-19.54634234,22.753766583680722,-27.4164387,-34.45931648,30.65633829,-16.24399213,-0.859037657,-3.062492957,0.026882059,0,Transitioning systems
BEN,Benin,3.303225783,22.56196,8953969,0.36891190744573715,0.000146407,0.018099548,0.9819004524886877,0.004524887,0,0,2519.771958111537,5.948411318,48.48186,14111030,0.42154338258794716,0.000122694,0.033024994,0.9669750064931172,5.9936467344614705e-05,0,0.032965057,3435.7421109585907,80.07885953825519,114.88319277225914,14.266678326166934,-16.19686155,1.4925445995570479,-1.4925446,0.6970459090304099,-0.442097926,0.004663468,4,Mixed pathway
BFA,Burkina Faso,1.347805637,22.83515,14816310,0.0909677,5.902328808875791e-05,0.18043513823000165,0.8195648617699984,0.18043513823000165,0,0,1541.2170776664366,5.243006902,50.85834,23025780,0.2277015980348983,0.00010309,0.17133883922987864,0.8286611607701213,0.066817815,0,0.053704173,2208.7564460357044,289.0031884471188,122.71953545301871,150.3103839,74.66056026736668,-0.9096299,0.9096299000122876,2.354989263773405,0.20580138039997986,-0.001199185,4,Mixed pathway
BGD,Bangladesh,47.92891948,450.3754,147989300,0.32386746526944854,0.00010642,0.024580645161290323,0.9754193548387097,0.023935483870967743,0,0.000645161,3043.2970491785554,125.9555776,1181.499,171467000,0.7345762016014743,0.000106607,0.016230677,0.9837693227954821,0.006094746,4.710004992605292e-05,0.010051150654219694,6890.532872214479,162.79661409395064,162.3364864066732,126.81382984559062,0.17539599374069204,-0.834996796,0.8349967956772453,1.0028344070853226,6.328849079199616,0.000529869,4,Mixed pathway
