,Country,2025,2026,2027,2028,2029,2030
0,Afghanistan,1.3163756e+07,1.42568e+07,1.5305076e+07,1.5893571e+07,1.6131272e+07,1.6221063e+07
1,Africa,1.5924493e+09,1.6362124e+09,1.6742602e+09,1.6927066e+09,1.6990356e+09,1.7004338e+09
2,Africa (GCP),1.592438e+09,1.636201e+09,1.6742487e+09,1.692695e+09,1.6990241e+09,1.7004221e+09
3,Albania,4.29277e+06,4.227481e+06,4.1919498e+06,4.183378e+06,4.2188535e+06,4.3185465e+06
4,Algeria,2.1365218e+08,2.2170634e+08,2.2853184e+08,2.3171402e+08,2.3273269e+08,2.3285978e+08
5,Andorra,462686.75,458543.62,456407.0,454445.7,452027.53,450224.5
6,Angola,2.019147e+07,1.9697508e+07,1.9449236e+07,1.9527732e+07,2.0107148e+07,2.136225e+07
7,Anguilla,156417.1,161137.17,165073.75,166958.61,167628.84,167810.16
8,Antarctica,41.453125,-181.51941,-266.08228,-327.28247,-420.0044,-492.98193
9,Antigua and Barbuda,698162.1,717007.2,733039.4,740727.7,743376.75,743983.56
10,Argentina,1.6725688e+08,1.6501795e+08,1.642379e+08,1.6513645e+08,1.6850792e+08,1.7522722e+08
11,Armenia,7.98131e+06,8.271922e+06,8.491996e+06,8.587724e+06,8.616494e+06,8.618254e+06
12,Aruba,1.2093888e+06,1.1417265e+06,1.1152191e+06,1.0971186e+06,1.0696438e+06,1.0404618e+06
13,Asia,2.5156989e+10,2.6100404e+10,2.6916712e+10,2.7308202e+10,2.7439895e+10,2.746509e+10
14,Asia (GCP),2.201704e+10,2.2856518e+10,2.3582802e+10,2.3931257e+10,2.404861e+10,2.4071246e+10
15,Asia (excl. China and India),8.363251e+09,8.592036e+09,8.792033e+09,8.888861e+09,8.921704e+09,8.928431e+09
16,Australia,3.854576e+08,3.840523e+08,3.830658e+08,3.8230733e+08,3.8214694e+08,3.8303603e+08
17,Austria,6.555935e+07,6.5082252e+07,6.4822316e+07,6.458206e+07,6.429299e+07,6.4078484e+07
18,Azerbaijan,4.187799e+07,4.2769604e+07,4.3420236e+07,4.369845e+07,4.3781504e+07,4.378612e+07
19,Bahamas,3.002827e+06,3.0750245e+06,3.1199402e+06,3.1373042e+06,3.141534e+06,3.140561e+06
20,Bahrain,4.1629776e+07,4.298983e+07,4.410949e+07,4.4624936e+07,4.4790796e+07,4.4814572e+07
